Tree no.,Address,Total species,Year planted,Year lost,Longevity (years),Species,Cultivar,Nativity,Genus,Family,Total species,Common name,,Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-4),Trk (0-3),Trk (0-4),Trk (0-4),Trk (0-4),Trk damage cause,,CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),CD (%),,Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),Chlor (0-3),,Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cond (1-6),Cause of loss,Comment,Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk diam (in.),Trk height (in.),in./year,Date planted, Cause of loss
090000,,,,,,,,,,,,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/2/2015,9/23/2016,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,10/1/2013,5/1/2014,10/2/2015,9/23/2016,10/20/2017,7/9/2018,9/16/2019,9/22/2020,7/26/2021,9/7/2022,9/8/2023,9/19/2024,,,Davey,7/15/2012,9/18/2012,10/14/2013,10/2/2015,9/23/2016,10/20/2017,11/19/2018,9/16/2019,9/22/2020,9/28/2021,9/7/2022,9/8/2023,9/19/2024,9/22/2020,,,
090100,"Greenbush S side, 12 St",,,,,,,,,,,,,2013,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,2013,2013,2015,2016,2018,2019,2020,2021,2022,2023,2024,,2015,2016,2018,2019,2020,2021,2022,2023,2024,,2013,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,
090101,1213,Acer glabrum,2012,,,Acer glabrum,,E,Acer,Aceraceae,Acer glabrum,Rocky Mtn maple,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.70,1.70,1.61,2.28,2.87,3.54,4.11,4.70,5.07,5.75,6.21,6.86,7.44,,0.48,5/17/2012,
090102,1217,Tilia tomentosa,2012,,,Tilia tomentosa,,E,Tilia,Tiliaceae,Tilia tomentosa,Silver linden,,1,1,1,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,1,2,2,2,2,1,1,1,1,1,1,1,,,,1.65,1.65,1.65,2.17,2.44,2.77,3.18,3.60,4.12,4.53,4.78,5.08,5.58,,0.32,5/17/2012,
090103,1221,Ulmus 'Frontier',2012,,,Ulmus 'Frontier',Frontier,E,Ulmus,Ulmaceae,Ulmus 'Frontier',Frontier Elm,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,,,,1.75,1.75,2.17,4.69,5.67,7.12,8.53,9.79,10.89,11.98,12.96,14.04,15.20,,1.12,5/17/2012,
090104,1227,Ginkgo biloba,2012,,,Ginkgo biloba,Princeton Sentry,E,Ginkgo,Ginkgoaceae,Ginkgo biloba,Ginkgo,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,,1,1,2,2,2,1,1,2,1,1,1,1,,,,1.55,1.50,1.61,1.69,1.93,2.08,2.21,2.44,2.64,2.87,3.07,3.41,3.60,,0.17,5/17/2012,
090200,13th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090201,1303,Zelkova serrata,2012,,,Zelkova serrata,Green Vase,E,Zelkova,Ulmaceae,Zelkova serrata,Zelkova,,0,0,0,0,0,0,,3,3,2,2,2,E,,0,2,0,0,0,0,20,0,0,0,10,,0,1,0,0,0,,0,0,0,,1,1,1,2,2,1,2,3,3,2,2,2,,,,1.65,1.75,1.85,2.56,3.43,3.37,3.71,4.08,4.49,4.62,5.02,5.30,5.51,50,0.32,5/17/2012,
090202,,Acer saccharum,X,,,,,,,,Acer saccharum,Sugar maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X (I),
090203,1307,Tilia americana,X,,,,,,,,Tilia americana,American basswood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
